assignment_id,code_version,n_reference,n_selected,is_ranked,response_time_s
16,birds-1,8,2,1,46.174
16,birds-1,8,2,1,8.559
17,birds-1,8,2,1,13.335
17,birds-1,8,2,1,20.757
17,birds-1,8,2,1,9.205
17,birds-1,8,2,1,27.594
17,birds-1,8,2,1,8.034
17,birds-1,8,2,1,80.261
17,birds-1,8,2,1,5.873
17,birds-1,8,2,1,9.147
17,birds-1,8,2,1,8.4
17,birds-1,8,2,1,6.776
17,birds-1,8,2,1,9.046
17,birds-1,8,2,1,7.286
17,birds-1,8,2,1,9.149
17,birds-1,8,2,1,6.47
17,birds-1,8,2,1,9.677
17,birds-1,8,2,1,8.341
17,birds-1,8,2,1,9.02
17,birds-1,8,2,1,8.242
17,birds-1,8,2,1,6.286
17,birds-1,8,2,1,9.743
17,birds-1,8,2,1,4.425
17,birds-1,8,2,1,198.429
17,birds-1,8,2,1,4.525
17,birds-1,8,2,1,60.5
17,birds-1,8,2,1,7.938
17,birds-1,8,2,1,5.532
17,birds-1,8,2,1,8.287
19,birds-1,8,2,1,25.09
19,birds-1,8,2,1,21.224
19,birds-1,8,2,1,11.092
19,birds-1,8,2,1,6.109
19,birds-1,8,2,1,8.184
19,birds-1,8,2,1,15.493
19,birds-1,8,2,1,15.096
19,birds-1,8,2,1,17.013
19,birds-1,8,2,1,18.491
19,birds-1,8,2,1,11.187
19,birds-1,8,2,1,7.345
19,birds-1,8,2,1,14.213
19,birds-1,8,2,1,14.389
19,birds-1,8,2,1,8.509
19,birds-1,8,2,1,14.16
19,birds-1,8,2,1,21.486
19,birds-1,8,2,1,14.537
19,birds-1,8,2,1,10.53
19,birds-1,8,2,1,15.614
19,birds-1,8,2,1,5.39
19,birds-1,8,2,1,14.832
19,birds-1,8,2,1,8.348
19,birds-1,8,2,1,15.482
19,birds-1,8,2,1,7.253
19,birds-1,8,2,1,10.38
19,birds-1,8,2,1,6.317
19,birds-1,8,2,1,4.067
20,birds-1,8,2,1,52.077
20,birds-1,8,2,1,32.862
20,birds-1,8,2,1,10.029
20,birds-1,8,2,1,20.514
20,birds-1,8,2,1,21.092
20,birds-1,8,2,1,21.839
20,birds-1,8,2,1,10.541
20,birds-1,8,2,1,17.208
20,birds-1,8,2,1,26.481
20,birds-1,8,2,1,25.424
20,birds-1,8,2,1,33.384
20,birds-1,8,2,1,18.277
20,birds-1,8,2,1,37.451
20,birds-1,8,2,1,17.267
20,birds-1,8,2,1,25.081
20,birds-1,8,2,1,10.377
20,birds-1,8,2,1,36.906
20,birds-1,8,2,1,14.779
20,birds-1,8,2,1,29.22
20,birds-1,8,2,1,41.116
20,birds-1,8,2,1,12.729
20,birds-1,8,2,1,25.27
20,birds-1,8,2,1,39.414
20,birds-1,8,2,1,13.221
20,birds-1,8,2,1,22.822
20,birds-1,8,2,1,12.23
20,birds-1,8,2,1,16.493
21,birds-1,8,2,1,10.828
21,birds-1,8,2,1,5.951
21,birds-1,8,2,1,4.447
21,birds-1,8,2,1,3.976
21,birds-1,8,2,1,2.675
21,birds-1,8,2,1,3.002
21,birds-1,8,2,1,22.676
21,birds-1,8,2,1,3.675
21,birds-1,8,2,1,4.294
21,birds-1,8,2,1,4.054
21,birds-1,8,2,1,5.236
21,birds-1,8,2,1,3.482
21,birds-1,8,2,1,4.497
21,birds-1,8,2,1,2.012
21,birds-1,8,2,1,5.848
21,birds-1,8,2,1,3.198
21,birds-1,8,2,1,2.742
21,birds-1,8,2,1,3.038
21,birds-1,8,2,1,5.146
21,birds-1,8,2,1,2.065
21,birds-1,8,2,1,2.289
21,birds-1,8,2,1,9.274
21,birds-1,8,2,1,3.653
21,birds-1,8,2,1,2.314
21,birds-1,8,2,1,4.232
21,birds-1,8,2,1,2.735
21,birds-1,8,2,1,3.07
22,birds-1,8,2,1,45.718
22,birds-1,8,2,1,11.512
22,birds-1,8,2,1,18.328
22,birds-1,8,2,1,4.804
22,birds-1,8,2,1,10
22,birds-1,8,2,1,6.711
22,birds-1,8,2,1,6.808
22,birds-1,8,2,1,4.658
22,birds-1,8,2,1,3.492
22,birds-1,8,2,1,6.241
22,birds-1,8,2,1,4.856
22,birds-1,8,2,1,5.115
22,birds-1,8,2,1,6.041
22,birds-1,8,2,1,6.558
22,birds-1,8,2,1,11.919
22,birds-1,8,2,1,6.338
22,birds-1,8,2,1,8.522
22,birds-1,8,2,1,6.519
22,birds-1,8,2,1,3.547
22,birds-1,8,2,1,12.631
22,birds-1,8,2,1,6.471
22,birds-1,8,2,1,6.815
22,birds-1,8,2,1,4.951
22,birds-1,8,2,1,7.389
22,birds-1,8,2,1,5.409
22,birds-1,8,2,1,10.018
23,birds-1,8,2,1,46.084
23,birds-1,8,2,1,23.047
23,birds-1,8,2,1,9.798
23,birds-1,8,2,1,10.73
23,birds-1,8,2,1,39.192
23,birds-1,8,2,1,17.144
23,birds-1,8,2,1,25.751
23,birds-1,8,2,1,27.612
23,birds-1,8,2,1,42.383
23,birds-1,8,2,1,12.223
23,birds-1,8,2,1,9.571
23,birds-1,8,2,1,7.035
23,birds-1,8,2,1,20.203
23,birds-1,8,2,1,14.147
23,birds-1,8,2,1,28.272
23,birds-1,8,2,1,16.04
23,birds-1,8,2,1,12.945
23,birds-1,8,2,1,24.36
23,birds-1,8,2,1,9.741
23,birds-1,8,2,1,54.204
23,birds-1,8,2,1,12.045
23,birds-1,8,2,1,9.369
23,birds-1,8,2,1,24.139
23,birds-1,8,2,1,14.579
23,birds-1,8,2,1,15.253
23,birds-1,8,2,1,9.627
23,birds-1,8,2,1,41.662
24,birds-1,8,2,1,36.105
24,birds-1,8,2,1,14.859
24,birds-1,8,2,1,5.056
24,birds-1,8,2,1,6.987
24,birds-1,8,2,1,8.772
24,birds-1,8,2,1,5.583
24,birds-1,8,2,1,6.593
24,birds-1,8,2,1,4.183
24,birds-1,8,2,1,6.335
24,birds-1,8,2,1,10.15
24,birds-1,8,2,1,9.6
24,birds-1,8,2,1,10.419
24,birds-1,8,2,1,8.539
24,birds-1,8,2,1,5.664
24,birds-1,8,2,1,19.525
24,birds-1,8,2,1,9.126
24,birds-1,8,2,1,6.401
24,birds-1,8,2,1,5.396
24,birds-1,8,2,1,8.91
24,birds-1,8,2,1,4.851
24,birds-1,8,2,1,4.492
24,birds-1,8,2,1,5.28
24,birds-1,8,2,1,7.984
24,birds-1,8,2,1,4.585
24,birds-1,8,2,1,6.127
24,birds-1,8,2,1,12.473
24,birds-1,8,2,1,8.826
25,birds-1,8,2,1,15.603
25,birds-1,8,2,1,13.726
25,birds-1,8,2,1,20.265
25,birds-1,8,2,1,29.705
25,birds-1,8,2,1,8.024
25,birds-1,8,2,1,10.876
25,birds-1,8,2,1,30.941
25,birds-1,8,2,1,8.935
25,birds-1,8,2,1,9.681
25,birds-1,8,2,1,22.165
25,birds-1,8,2,1,12.334
25,birds-1,8,2,1,12.839
25,birds-1,8,2,1,36.14
25,birds-1,8,2,1,15.861
25,birds-1,8,2,1,8.357
25,birds-1,8,2,1,20.032
25,birds-1,8,2,1,11.477
25,birds-1,8,2,1,43.838
25,birds-1,8,2,1,8.658
25,birds-1,8,2,1,7.89
25,birds-1,8,2,1,17.425
25,birds-1,8,2,1,20.907
25,birds-1,8,2,1,14.636
25,birds-1,8,2,1,7.903
25,birds-1,8,2,1,23.003
25,birds-1,8,2,1,12.818
25,birds-1,8,2,1,14.616
26,birds-1,8,2,1,19.082
26,birds-1,8,2,1,12.915
26,birds-1,8,2,1,5.291
26,birds-1,8,2,1,8.859
26,birds-1,8,2,1,7.247
26,birds-1,8,2,1,7.639
26,birds-1,8,2,1,9.372
26,birds-1,8,2,1,6.465
26,birds-1,8,2,1,9.211
26,birds-1,8,2,1,12.57
26,birds-1,8,2,1,9.704
26,birds-1,8,2,1,16.327
26,birds-1,8,2,1,14.18
26,birds-1,8,2,1,6.748
26,birds-1,8,2,1,9.273
26,birds-1,8,2,1,12.42
26,birds-1,8,2,1,14.976
26,birds-1,8,2,1,4.333
26,birds-1,8,2,1,6.17
26,birds-1,8,2,1,7.95
26,birds-1,8,2,1,7.913
26,birds-1,8,2,1,7.463
26,birds-1,8,2,1,3.944
26,birds-1,8,2,1,9.315
26,birds-1,8,2,1,9.319
26,birds-1,8,2,1,10.339
26,birds-1,8,2,1,4.775
27,birds-1,8,2,1,23.803
27,birds-1,8,2,1,7.762
27,birds-1,8,2,1,8.6
27,birds-1,8,2,1,7.456
27,birds-1,8,2,1,4.466
27,birds-1,8,2,1,6.537
27,birds-1,8,2,1,7.112
