assignment_id,code_version,n_reference,n_select,is_ranked,response_time_s
287,rocks-0-random-0,8,2,1,12.649
287,rocks-0-random-0,8,2,1,10.308
287,rocks-0-random-0,8,2,1,13.211
287,rocks-0-random-0,8,2,1,9.786
287,rocks-0-random-0,8,2,1,5.163
287,rocks-0-random-0,8,2,1,14.196
287,rocks-0-random-0,8,2,1,6.471
287,rocks-0-random-0,8,2,1,9.134
287,rocks-0-random-0,8,2,1,18.431
287,rocks-0-random-0,8,2,1,19.866
287,rocks-0-random-0,8,2,1,8.371
287,rocks-0-random-0,8,2,1,7.538
287,rocks-0-random-0,8,2,1,7.466
287,rocks-0-random-0,8,2,1,13.152
287,rocks-0-random-0,8,2,1,7.707
287,rocks-0-random-0,8,2,1,16.087
287,rocks-0-random-0,8,2,1,9.337
287,rocks-0-random-0,8,2,1,11.737
288,rocks-0-random-0,8,2,1,31.295
288,rocks-0-random-0,8,2,1,5.007
288,rocks-0-random-0,8,2,1,5.624
288,rocks-0-random-0,8,2,1,6.326
288,rocks-0-random-0,8,2,1,3.92
288,rocks-0-random-0,8,2,1,3.731
288,rocks-0-random-0,8,2,1,3.797
288,rocks-0-random-0,8,2,1,3.642
288,rocks-0-random-0,8,2,1,4.296
288,rocks-0-random-0,8,2,1,8.955
288,rocks-0-random-0,8,2,1,4.36
288,rocks-0-random-0,8,2,1,3.079
288,rocks-0-random-0,8,2,1,4.25
288,rocks-0-random-0,8,2,1,11.931
288,rocks-0-random-0,8,2,1,3.166
288,rocks-0-random-0,8,2,1,2.397
288,rocks-0-random-0,8,2,1,2.788
288,rocks-0-random-0,8,2,1,4.523
288,rocks-0-random-0,8,2,1,4.668
288,rocks-0-random-0,8,2,1,4.787
288,rocks-0-random-0,8,2,1,4.877
288,rocks-0-random-0,8,2,1,5.949
288,rocks-0-random-0,8,2,1,4.51
288,rocks-0-random-0,8,2,1,2.888
288,rocks-0-random-0,8,2,1,4.669
288,rocks-0-random-0,8,2,1,3.659
288,rocks-0-random-0,8,2,1,2.609
289,rocks-0-random-0,8,2,1,12.275
289,rocks-0-random-0,8,2,1,7.743
289,rocks-0-random-0,8,2,1,6.001
289,rocks-0-random-0,8,2,1,24.772
289,rocks-0-random-0,8,2,1,5.125
289,rocks-0-random-0,8,2,1,7.594
289,rocks-0-random-0,8,2,1,10.843
289,rocks-0-random-0,8,2,1,3.425
289,rocks-0-random-0,8,2,1,4.03
289,rocks-0-random-0,8,2,1,60.892
289,rocks-0-random-0,8,2,1,21.967
289,rocks-0-random-0,8,2,1,9.797
289,rocks-0-random-0,8,2,1,6.253
289,rocks-0-random-0,8,2,1,25.99
289,rocks-0-random-0,8,2,1,13.669
289,rocks-0-random-0,8,2,1,5.066
289,rocks-0-random-0,8,2,1,9.714
289,rocks-0-random-0,8,2,1,5.58
289,rocks-0-random-0,8,2,1,27.407
289,rocks-0-random-0,8,2,1,6.99
289,rocks-0-random-0,8,2,1,6.771
289,rocks-0-random-0,8,2,1,6.944
289,rocks-0-random-0,8,2,1,17.307
289,rocks-0-random-0,8,2,1,5.458
289,rocks-0-random-0,8,2,1,7.176
289,rocks-0-random-0,8,2,1,6.896
289,rocks-0-random-0,8,2,1,4.55
290,rocks-0-random-0,8,2,1,51.509
290,rocks-0-random-0,8,2,1,25.953
290,rocks-0-random-0,8,2,1,15.698
290,rocks-0-random-0,8,2,1,34.117
290,rocks-0-random-0,8,2,1,51.78
290,rocks-0-random-0,8,2,1,18.544
290,rocks-0-random-0,8,2,1,32.71
290,rocks-0-random-0,8,2,1,27.366
290,rocks-0-random-0,8,2,1,13.291
290,rocks-0-random-0,8,2,1,7.657
290,rocks-0-random-0,8,2,1,20.754
290,rocks-0-random-0,8,2,1,15.719
290,rocks-0-random-0,8,2,1,21.028
290,rocks-0-random-0,8,2,1,38.147
290,rocks-0-random-0,8,2,1,23.756
290,rocks-0-random-0,8,2,1,20.583
290,rocks-0-random-0,8,2,1,10.408
290,rocks-0-random-0,8,2,1,23.178
290,rocks-0-random-0,8,2,1,14.159
290,rocks-0-random-0,8,2,1,54.118
290,rocks-0-random-0,8,2,1,20.208
290,rocks-0-random-0,8,2,1,15.173
290,rocks-0-random-0,8,2,1,15.29
290,rocks-0-random-0,8,2,1,14.075
290,rocks-0-random-0,8,2,1,13.352
290,rocks-0-random-0,8,2,1,33.596
290,rocks-0-random-0,8,2,1,13.226
291,rocks-0-random-0,8,2,1,17.774
291,rocks-0-random-0,8,2,1,11.679
291,rocks-0-random-0,8,2,1,7.394
291,rocks-0-random-0,8,2,1,6.512
291,rocks-0-random-0,8,2,1,9.969
291,rocks-0-random-0,8,2,1,6.677
291,rocks-0-random-0,8,2,1,7.164
291,rocks-0-random-0,8,2,1,4.082
291,rocks-0-random-0,8,2,1,10.107
291,rocks-0-random-0,8,2,1,7.896
291,rocks-0-random-0,8,2,1,6.533
291,rocks-0-random-0,8,2,1,11.743
291,rocks-0-random-0,8,2,1,5.06
291,rocks-0-random-0,8,2,1,8.825
291,rocks-0-random-0,8,2,1,10.317
291,rocks-0-random-0,8,2,1,6.819
291,rocks-0-random-0,8,2,1,9.654
291,rocks-0-random-0,8,2,1,4.888
291,rocks-0-random-0,8,2,1,3.885
291,rocks-0-random-0,8,2,1,10.757
291,rocks-0-random-0,8,2,1,5.987
291,rocks-0-random-0,8,2,1,11.808
291,rocks-0-random-0,8,2,1,7.088
291,rocks-0-random-0,8,2,1,6.112
291,rocks-0-random-0,8,2,1,3.875
291,rocks-0-random-0,8,2,1,5.737
291,rocks-0-random-0,8,2,1,5.397
292,rocks-0-random-0,8,2,1,16.867
292,rocks-0-random-0,8,2,1,7.123
292,rocks-0-random-0,8,2,1,25.092
292,rocks-0-random-0,8,2,1,9.085
292,rocks-0-random-0,8,2,1,6.529
292,rocks-0-random-0,8,2,1,5.728
292,rocks-0-random-0,8,2,1,5.868
292,rocks-0-random-0,8,2,1,86.533
292,rocks-0-random-0,8,2,1,3.894
292,rocks-0-random-0,8,2,1,5.419
292,rocks-0-random-0,8,2,1,3.35
292,rocks-0-random-0,8,2,1,3.08
292,rocks-0-random-0,8,2,1,14.024
292,rocks-0-random-0,8,2,1,3.616
292,rocks-0-random-0,8,2,1,2.575
292,rocks-0-random-0,8,2,1,2.607
292,rocks-0-random-0,8,2,1,4.418
292,rocks-0-random-0,8,2,1,3.922
292,rocks-0-random-0,8,2,1,36.56
292,rocks-0-random-0,8,2,1,3.744
292,rocks-0-random-0,8,2,1,25.514
292,rocks-0-random-0,8,2,1,5.451
292,rocks-0-random-0,8,2,1,65.473
292,rocks-0-random-0,8,2,1,2.903
292,rocks-0-random-0,8,2,1,4.034
292,rocks-0-random-0,8,2,1,3.459
292,rocks-0-random-0,8,2,1,3.182
293,rocks-0-random-0,8,2,1,42.782
293,rocks-0-random-0,8,2,1,10.476
293,rocks-0-random-0,8,2,1,5.806
293,rocks-0-random-0,8,2,1,8.39
293,rocks-0-random-0,8,2,1,6.007
293,rocks-0-random-0,8,2,1,15.143
293,rocks-0-random-0,8,2,1,6.474
293,rocks-0-random-0,8,2,1,6.954
293,rocks-0-random-0,8,2,1,7.908
293,rocks-0-random-0,8,2,1,9.434
293,rocks-0-random-0,8,2,1,10.283
293,rocks-0-random-0,8,2,1,18.159
293,rocks-0-random-0,8,2,1,8.591
293,rocks-0-random-0,8,2,1,6.801
293,rocks-0-random-0,8,2,1,11.031
293,rocks-0-random-0,8,2,1,5.647
293,rocks-0-random-0,8,2,1,7.861
293,rocks-0-random-0,8,2,1,4.189
293,rocks-0-random-0,8,2,1,6.357
293,rocks-0-random-0,8,2,1,7.498
293,rocks-0-random-0,8,2,1,5.331
293,rocks-0-random-0,8,2,1,6.235
293,rocks-0-random-0,8,2,1,6.356
293,rocks-0-random-0,8,2,1,4.769
293,rocks-0-random-0,8,2,1,10.557
293,rocks-0-random-0,8,2,1,8.609
293,rocks-0-random-0,8,2,1,10.864
294,rocks-0-random-0,8,2,1,42.597
294,rocks-0-random-0,8,2,1,4.295
294,rocks-0-random-0,8,2,1,4.94
294,rocks-0-random-0,8,2,1,5.899
294,rocks-0-random-0,8,2,1,7.259
294,rocks-0-random-0,8,2,1,7.201
294,rocks-0-random-0,8,2,1,14.65
294,rocks-0-random-0,8,2,1,7.402
294,rocks-0-random-0,8,2,1,5.495
294,rocks-0-random-0,8,2,1,6.767
294,rocks-0-random-0,8,2,1,4.045
294,rocks-0-random-0,8,2,1,5.373
294,rocks-0-random-0,8,2,1,12.397
294,rocks-0-random-0,8,2,1,7.744
294,rocks-0-random-0,8,2,1,6.866
294,rocks-0-random-0,8,2,1,8.933
294,rocks-0-random-0,8,2,1,9.226
294,rocks-0-random-0,8,2,1,6.714
294,rocks-0-random-0,8,2,1,16.184
294,rocks-0-random-0,8,2,1,4.783
294,rocks-0-random-0,8,2,1,5.709
294,rocks-0-random-0,8,2,1,48.844
294,rocks-0-random-0,8,2,1,11.521
294,rocks-0-random-0,8,2,1,7.431
294,rocks-0-random-0,8,2,1,5.478
294,rocks-0-random-0,8,2,1,5.419
294,rocks-0-random-0,8,2,1,7.116
295,rocks-0-random-0,8,2,1,358.332
295,rocks-0-random-0,8,2,1,30.28
295,rocks-0-random-0,8,2,1,64.432
295,rocks-0-random-0,8,2,1,21.926
295,rocks-0-random-0,8,2,1,38.111
295,rocks-0-random-0,8,2,1,17.084
295,rocks-0-random-0,8,2,1,32.971
295,rocks-0-random-0,8,2,1,21.106
295,rocks-0-random-0,8,2,1,13.978
295,rocks-0-random-0,8,2,1,191.262
295,rocks-0-random-0,8,2,1,20.889
295,rocks-0-random-0,8,2,1,17.451
295,rocks-0-random-0,8,2,1,32.588
295,rocks-0-random-0,8,2,1,20.008
295,rocks-0-random-0,8,2,1,13.614
295,rocks-0-random-0,8,2,1,13.552
295,rocks-0-random-0,8,2,1,13.903
295,rocks-0-random-0,8,2,1,13.623
295,rocks-0-random-0,8,2,1,25.311
295,rocks-0-random-0,8,2,1,16.562
295,rocks-0-random-0,8,2,1,19.075
295,rocks-0-random-0,8,2,1,43.655
295,rocks-0-random-0,8,2,1,27.622
295,rocks-0-random-0,8,2,1,21.45
295,rocks-0-random-0,8,2,1,19.772
295,rocks-0-random-0,8,2,1,21.71
295,rocks-0-random-0,8,2,1,7.205
296,rocks-0-random-0,8,2,1,2.945
296,rocks-0-random-0,8,2,1,9.168
296,rocks-0-random-0,8,2,1,1.012
296,rocks-0-random-0,8,2,1,5.499
296,rocks-0-random-0,8,2,1,6.774
296,rocks-0-random-0,8,2,1,8.861
296,rocks-0-random-0,8,2,1,9.923
296,rocks-0-random-0,8,2,1,11.083
296,rocks-0-random-0,8,2,1,12.061
296,rocks-0-random-0,8,2,1,12.974
296,rocks-0-random-0,8,2,1,14.282
296,rocks-0-random-0,8,2,1,15.244
296,rocks-0-random-0,8,2,1,16.322
296,rocks-0-random-0,8,2,1,17.367
296,rocks-0-random-0,8,2,1,19.755
296,rocks-0-random-0,8,2,1,20.713
296,rocks-0-random-0,8,2,1,21.707
296,rocks-0-random-0,8,2,1,22.638
296,rocks-0-random-0,8,2,1,23.681
296,rocks-0-random-0,8,2,1,24.707
296,rocks-0-random-0,8,2,1,26.216
296,rocks-0-random-0,8,2,1,27.105
296,rocks-0-random-0,8,2,1,28.006
296,rocks-0-random-0,8,2,1,29.849
296,rocks-0-random-0,8,2,1,30.825
296,rocks-0-random-0,8,2,1,31.804
296,rocks-0-random-0,8,2,1,32.666
297,rocks-0-random-0,8,2,1,24.313
297,rocks-0-random-0,8,2,1,13.269
297,rocks-0-random-0,8,2,1,5.436
297,rocks-0-random-0,8,2,1,10.386
297,rocks-0-random-0,8,2,1,11.2
